job_title,job_description,company,location
Android Developer,"Android Developer with 5+ years. Required: Kotlin, Java, Android SDK, REST API, Git, Firebase. Nice to have: Jetpack Compose, MVVM, Coroutines. B.Tech CSE.",DevHouse,Mumbai
Web Developer,"Hiring Full Stack Web Developer with 4+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",InnovateTech,Pune
Android Developer,"Android Developer with 3+ years. Required: Kotlin, Java, Android SDK, REST API, Git, Firebase. Nice to have: Jetpack Compose, MVVM, Coroutines. B.Tech CSE.",CloudBase,Bangalore
Machine Learning Engineer,"ML Engineer needed with 4+ years. Required: Python, TensorFlow, PyTorch, Machine Learning, Docker, AWS, Git, SQL. Nice to have: Kubernetes, MLflow, Spark, Airflow.",DevHouse,Delhi
Data Analyst,"Data Analyst needed with 5+ years experience. Must have: SQL, Excel, Power BI, Tableau, Python, Statistics, Data Visualization. Nice to have: R, Machine Learning, ETL. B.Sc or MBA preferred.",DataInc,Hyderabad
Android Developer,"Android Developer with 3+ years. Required: Kotlin, Java, Android SDK, REST API, Git, Firebase. Nice to have: Jetpack Compose, MVVM, Coroutines. B.Tech CSE.",AI Labs,Pune
Android Developer,"Android Developer with 2+ years. Required: Kotlin, Java, Android SDK, REST API, Git, Firebase. Nice to have: Jetpack Compose, MVVM, Coroutines. B.Tech CSE.",DevHouse,Chennai
Data Analyst,"Data Analyst needed with 2+ years experience. Must have: SQL, Excel, Power BI, Tableau, Python, Statistics, Data Visualization. Nice to have: R, Machine Learning, ETL. B.Sc or MBA preferred.",TechCorp,Mumbai
Web Developer,"Hiring Full Stack Web Developer with 5+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",InnovateTech,Delhi
Testing,"QA Engineer with 5+ years. Required: Selenium, Python or Java, Manual Testing, JIRA, Git, Agile. Nice to have: API Testing, Performance Testing, JMeter. B.Tech preferred.",CloudBase,Hyderabad
Data Science,"We are looking for a Data Scientist with 2+ years experience. Must have: Python, SQL, Machine Learning, Deep Learning, TensorFlow, NLP, Docker, AWS, Git. Nice to have: Spark, Kubernetes, MLflow. B.Tech or M.Tech in Computer Science or related field required.",DevHouse,Delhi
